Gene,Pt_mRCC_SC_90,Pt_mRCC_SC_1,Pt_mRCC_SC_23,Pt_mRCC_SC_93,Pt_mRCC_SC_39,Pt_mRCC_SC_84,Pt_mRCC_SC_75,Pt_mRCC_SC_79,Pt_mRCC_SC_12,Pt_mRCC_SC_24,Pt_mRCC_SC_36,Pt_mRCC_SC_85,Pt_mRCC_SC_33,Pt_mRCC_SC_81,Pt_mRCC_SC_87,Pt_mRCC_SC_59,Pt_mRCC_SC_56,Pt_mRCC_SC_64,Pt_mRCC_SC_17,Pt_mRCC_SC_43,Pt_mRCC_SC_92,Pt_mRCC_SC_30,Pt_mRCC_SC_57,Pt_mRCC_SC_53,Pt_mRCC_SC_61,Pt_mRCC_SC_11,Pt_mRCC_SC_21,Pt_mRCC_SC_71,Pt_mRCC_SC_5,Pt_mRCC_SC_3,Pt_mRCC_SC_86,Pt_mRCC_SC_69,Pt_mRCC_SC_58,Pt_mRCC_SC_88,Pt_mRCC_SC_10
A1BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,0,0,1,4,0,1,1,2,0,7,0,1,0,14,1,2,0,0,0,13,27,6,0,0,3,0,8,0,0,0,1,0,0,54,37
AACS,0,2,38,6,2,155,126,3,1,123,0,3,1,0,0,0,0,6,0,0,0,0,0,1,14,0,4,0,0,0,5,0,0,0,0
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,5,15,0,0,3,170,0,0,35,5,2,0,0,3,5,3,37,5,0,0,0,0,0,0,30,0,0,0,0,2,0,0,0,13,13
AAED1,1,18,28,1,2,9,9,4,16,4,16,61,96,11,12,0,80,11,33,1,6,0,0,0,29,12,1,0,0,40,99,0,220,0,1
AAGAB,50,23,19,131,22,21,409,5,348,32,14,8,4,14,28,8,220,338,1,215,91,80,92,1099,9,44,38,35,0,10,97,116,164,37,15
AAK1,454,214,130,223,253,357,202,63,414,104,215,1241,534,87,579,37,253,147,174,457,33,37,342,1400,113,1217,126,410,2,3386,115,51,1026,454,41
AAMDC,2,12,4,57,0,3,2,0,0,12,6,3,1,4,2,0,9,129,33,26,3,5,19,0,3,1,19,0,0,0,0,0,14,18,4
AAMP,22,4,0,4,6,17,0,107,0,2,40,0,0,8,35,0,1,9,4,8,5,13,0,14,1,0,1,0,0,1,25,13,0,0,7
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0
AAR2,65,11,113,35,24,86,96,1,164,32,56,4,56,12,11,17,0,50,0,8,141,0,18,158,73,22,1,3,3,57,121,654,15,0,1
AARS,264,186,480,177,74,369,75,9,334,122,61,163,2568,99,177,120,43,57,772,104,167,944,161,283,198,58,649,5,2,332,58,423,426,145,144
AARS2,19,0,0,25,28,2,0,266,5,5,42,0,0,18,0,0,0,33,183,0,0,14,0,0,0,2,21,0,0,0,3,0,0,20,0
AARSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AASDH,0,0,11,0,3,2,0,0,4,1,20,57,63,33,0,47,4,3,27,23,6,0,20,0,1,0,0,0,0,0,45,0,0,0,23
AASDHPPT,60,31,336,47,123,341,79,35,119,450,24,113,237,42,16,100,47,55,145,452,26,303,61,123,33,414,32,186,0,9,113,2,521,13,36
AASS,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATF,3,8,150,35,9,21,15,3,32,6,30,100,82,10,22,1,12,43,79,25,19,63,242,41,69,56,3,3,0,5,6,4,46,18,25
AATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABALON,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,5,0,0,0,0,0,14,0,26,3,7,0,0,0,0,0,0,0,1,10
ABAT,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0
ABCA1,192,767,12,262,356,5257,569,102,717,748,167,236,2110,191,56,131,673,539,314,2147,161,5768,973,2648,11,352,511,990,4,7120,20,2336,326,463,456
ABCA10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA11P,0,1,0,0,0,392,0,0,0,96,19,0,0,0,0,1,1,5,1,6,0,0,0,0,0,12,0,0,1,0,0,0,0,3,141
ABCA12,1,0,2,18,0,2,8,0,0,74,2,0,0,1,0,3,14,6,0,0,0,57,7,0,5,16,6,0,0,0,17,0,0,50,10
ABCA13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA17P,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA2,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA3,80,1,3,0,0,275,5,291,1,26,26,102,303,7,42,6,1,0,204,0,4,0,0,0,14,32,0,0,0,183,16,8,68,11,29
ABCA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,32,32,56,0,0,8,2,0,155,49,4,4,0,8,1,0,4,77,42,4,1,850,0,308,17,3,82,0,0,0,114,0,2,21,14
ABCA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA7,0,1,28,0,8,0,0,0,0,14,2,0,0,0,0,0,0,0,0,29,3,7,3,0,1,0,1,0,0,13,0,0,17,52,10
ABCA8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCA9.AS1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10,0,0,2,42,15,43,129,0,1,12,38,9,51,34,36,5,41,42,531,53,11,3,508,0,10,10,0,15,1,253,117,0,142,66,34
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,0,0,0,69,18,0,26,0,0,15,2,9,229,21,0,2,35,0,17,0,0,46,0,0,10,0,0,0,1,12,0,0,2,11,25
ABCB7,14,19,168,17,9,48,32,66,0,16,1,75,0,5,18,3,20,6,0,3,12,74,16,31,5,27,0,0,0,116,6,2,1,31,6
ABCB8,0,14,51,0,0,0,2,46,0,0,37,0,1,0,0,2,2,0,0,4,0,2,0,18,3,0,0,3,0,0,0,0,6,5,0
ABCB9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC1,3,25,214,1,4,7,163,81,34,35,11,23,0,35,69,1,22,64,114,288,3,422,10,0,26,181,6,2,0,32,7,2,0,33,13
ABCC10,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0
ABCC11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,0,5,0,0,1,18,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,125,0,37,0,1,4,0,0,0,0,0,6,0
ABCC3,94,138,175,25,22,2,20,73,10,90,52,15,2239,13,143,0,15,14,8,12,126,152,48,418,23,41,0,72,0,78,62,236,83,137,2
ABCC4,89,47,11,41,0,187,0,3,41,11,2,243,2,13,5,0,22,22,0,6,42,430,0,1,0,197,2,0,0,140,21,9,9,90,65
ABCC5,4,23,5,1,0,0,0,17,67,0,0,0,49,10,6,1,0,31,1,0,0,0,73,0,0,8,0,0,0,6,6,5,0,6,1
ABCC5.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
ABCC6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABCC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,9,1,29,0,0,0,0,0,0,0,2,2,1,0,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABCD3,798,20,5,158,11,28,7,19,0,499,5,81,187,11,6,35,33,27,2,80,2,164,5,500,45,313,3,121,1,2352,4,113,186,13,26
ABCD4,0,14,6,1,0,0,0,0,0,0,0,38,52,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1
ABCE1,422,106,393,185,71,322,29,77,125,235,121,74,2,87,62,31,373,343,127,59,10,198,53,861,56,76,284,242,0,76,230,7,82,44,71
ABCF1,56,59,7,47,21,52,16,0,46,131,17,25,599,9,7,32,37,67,134,194,35,22,4,9,27,121,30,7,0,5,86,7,71,26,15
ABCF2,609,40,72,32,34,171,121,17,246,32,44,32,90,131,127,8,15,223,305,204,20,182,18,778,40,74,59,383,0,915,279,211,534,108,68
ABCF3,0,0,0,0,1,19,0,27,0,0,1,3,11,1,0,5,4,40,2,0,2,0,0,0,11,0,0,26,0,0,0,41,0,55,2
ABCG1,0,90,6,27,0,7,1,0,2,2,0,0,0,2,0,0,0,0,0,21,0,205,2,0,0,147,0,2,0,0,0,326,307,28,46
ABCG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,0,3,1,407,1,63,20,0,140,13,3,0,552,10,9,15,30,33,33,564,2,24,28,20,7,122,3,0,0,12,10,0,408,6,6
ABHD11,86,14,10,15,4,37,16,131,119,36,100,3,212,42,19,2,0,2,1,0,0,0,36,0,0,28,0,1,0,0,2,1,370,7,15
ABHD11.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD12,40,60,26,62,5,4,19,1,62,48,6,11,87,2,2,9,0,1,1,54,5,0,1,95,2,25,26,3,0,27,81,330,16,2,2
ABHD12B,0,0,0,4,0,2,0,0,0,1,0,1,0,0,0,0,0,19,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,1
ABHD13,720,0,0,4,230,226,25,0,0,14,37,317,0,2,0,1,1,8,0,4,0,0,0,9,0,1,0,0,0,1,0,0,0,1,0
ABHD14A,0,34,0,0,0,0,2,8,0,7,6,0,169,18,0,0,34,0,0,4,0,0,8,0,1,28,0,0,0,0,1,182,0,0,1
ABHD14B,121,52,16,57,9,227,115,14,22,172,0,5,204,38,99,9,101,29,37,207,227,0,83,1,4,2,1884,834,0,468,2,1,0,48,71
ABHD15,0,16,5,19,0,10,11,0,2,3,87,0,42,2,111,42,2,4,910,4,0,0,8,0,21,57,0,0,0,3,1,0,0,50,13
ABHD16A,0,1,0,21,2,12,0,0,0,0,0,0,0,7,0,1,0,2,0,80,0,0,0,0,1,7,0,0,0,0,0,0,0,0,3
ABHD16B,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17B,12,66,8,13,58,0,32,0,0,1,15,0,0,3,0,1,2,0,56,13,0,1,33,1,1,0,0,1,0,3,84,125,0,0,1
ABHD17C,131,0,3,14,39,125,25,0,12,15,1,0,0,4,0,3,0,23,354,0,174,0,51,0,0,0,15,96,0,1,0,0,5,31,1
ABHD2,1042,597,344,208,85,103,128,611,390,113,295,72,426,103,156,46,111,174,209,309,87,996,48,4,201,48,93,246,0,57,137,38,91,72,62
ABHD3,0,42,74,22,0,182,0,7,14,69,0,0,1,20,0,13,9,22,111,47,32,0,1,0,8,25,0,0,0,250,76,0,0,0,0
ABHD4,0,64,4,89,1,0,0,0,199,36,0,14,2,0,0,2,0,0,0,3,208,436,0,0,1,17,0,0,1,0,1,0,0,1,0
ABHD5,264,172,1,76,106,6,65,0,160,101,148,55,1,35,183,2,67,43,92,351,73,1871,436,0,7,192,74,29,0,318,222,842,82,81,10
ABHD6,0,0,1,7,5,0,24,0,96,11,14,0,1022,0,0,0,4,0,53,153,15,1138,0,4,0,0,3,0,0,0,0,16,136,0,4
ABHD8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
ABI1,1636,671,164,281,232,1109,294,75,443,365,106,339,1353,53,322,98,464,213,1470,673,241,1698,771,674,521,997,1494,963,1,1358,600,125,88,273,299
ABI2,0,85,13,83,11,108,18,0,611,44,2,31,563,3,53,6,2,2,1,1,25,17,26,14,0,150,1,2,0,20,15,164,13,25,11
ABI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI3BP,0,0,20,1,0,0,0,400,25,1,0,0,89,0,0,53,0,1,10,0,0,0,11,12,153,0,0,0,0,0,0,0,0,0,0
ABL1,17,1,1,6,0,0,68,0,141,0,42,31,8,22,0,1,49,8,0,10,8,0,147,0,0,0,4,0,0,46,20,0,0,53,0
ABL2,2053,326,225,121,534,4772,602,303,1089,1113,2366,1106,1123,250,300,87,802,2198,64,1891,417,3399,586,86,552,950,181,545,7,193,1430,254,556,1643,651
ABLIM1,708,479,8,67,86,273,179,1179,534,316,128,384,2348,165,285,147,417,232,466,541,70,2119,21,4,111,613,1090,690,2,43,46,960,437,772,144
ABLIM2,44,5,1,46,2,0,9,0,8,0,110,9,0,0,0,0,17,0,0,0,0,1,0,3,0,1,55,1,0,121,0,1,23,33,6
ABLIM3,25,125,87,44,23,154,74,403,188,42,70,95,302,52,168,32,231,12,299,53,66,47,994,1,27,17,27,56,0,959,33,297,174,100,116
ABR,0,9,3,0,1,0,0,1,20,0,0,0,344,0,0,0,0,1,0,9,0,12,145,0,2,1,0,0,0,2,1,0,0,4,0
ABRA,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRACL,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABT1,9,9,14,10,53,126,159,0,219,122,1,2,3,20,4,8,54,58,0,5,10,0,1,0,17,11,0,0,0,1,444,0,3,0,1
ABTB1,2,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,4,0,20,1,31,2,1,0
ABTB2,124,29,12,12,4,0,30,0,49,1,0,1,14,0,0,0,0,11,0,0,0,1,7,1,22,5,0,1,0,38,65,0,2,2,0
ACAA1,2,0,3,0,2,0,113,1,8,0,4,0,348,3,2,4,0,0,107,0,4,20,19,97,29,27,0,34,0,0,10,0,57,58,0
ACAA2,0,13,51,73,11,3,13,92,95,17,46,7,192,13,47,1,5,11,3,11,1,0,4,175,26,21,28,325,0,135,1,1,4,60,47
ACACA,1,99,114,4,8,546,0,0,84,74,52,358,121,10,39,2,87,414,15,35,18,64,230,1,26,259,536,0,1,106,0,0,7,4,12
ACACB,0,0,0,32,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0
ACAD10,2,0,19,2,0,0,1,199,65,6,8,66,0,4,0,7,0,77,0,0,7,0,0,1,0,6,0,0,0,2,2,0,0,87,0
ACAD11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
ACAD8,444,1,0,2,10,2,1,0,0,0,0,59,0,16,0,0,9,0,0,0,1,0,7,0,0,0,0,0,0,0,40,0,23,43,0
ACAD9,0,0,0,0,0,95,2,0,38,3,5,0,47,4,0,1,33,0,0,4,0,0,0,0,4,5,0,0,0,0,0,33,3,40,1
ACADL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,0,19,46,75,70,0,1,0,12,24,116,13,192,2,0,15,57,87,0,14,7,50,111,101,31,169,33,35,0,5,15,2,1,66,0
ACADS,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ACADSB,0,3,1,276,0,13,12,9,15,0,4,9,12,20,0,16,248,0,0,87,0,0,0,0,25,76,0,5,0,64,1,9,0,0,0
ACADVL,98,88,24,79,6,34,20,131,191,44,15,104,205,20,74,31,51,23,230,48,31,1,39,57,20,4,0,191,1,54,195,0,170,193,48
ACAP1,21,0,2,21,0,13,0,5,3,0,2,11,313,3,3,0,0,75,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0
ACAP2,153,69,943,253,21,460,172,26,374,405,271,502,4849,111,80,64,57,98,804,222,52,105,18,15,39,340,20,20,1,260,55,1048,311,57,67
ACAP3,0,0,0,0,0,0,4,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
ACAT1,9,12,39,10,14,29,53,609,41,23,17,66,25,2,4,13,8,23,22,46,6,200,86,119,79,44,2,67,0,58,38,50,123,76,20
ACAT2,0,0,9,0,0,0,0,0,11,46,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
ACBD3,495,52,394,170,39,175,392,1032,587,464,280,120,915,122,1206,17,216,527,423,349,85,80,25,95,249,411,70,402,0,482,155,23,1221,57,27
ACBD4,0,0,0,5,0,0,0,0,0,0,0,0,0,9,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,4,0,0,3,28,0
ACBD5,388,207,54,39,11,763,32,145,643,65,87,31,458,65,107,17,172,139,388,150,40,100,462,0,68,30,38,143,1,217,128,19,365,49,24
ACBD6,0,16,3,13,1,21,16,2,22,9,15,78,10,4,8,4,7,33,42,221,47,5,41,1,3,8,5,0,0,59,0,0,134,10,14
ACBD7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
ACCS,0,1,0,0,0,0,0,11,0,0,6,0,194,5,31,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACD,5,58,2,1,0,3,0,3,3,0,1,29,11,7,12,4,0,13,0,5,7,129,120,0,12,75,0,0,0,202,0,0,0,13,1
ACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACER2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACER3,292,94,8,17,3,178,11,0,57,4,90,49,64,22,14,2,46,225,15,67,60,219,54,58,116,12,1,0,0,0,1,403,14,61,179
ACIN1,27,29,183,144,9,1,24,7,89,120,34,35,33,33,73,42,82,42,41,32,38,26,325,12,172,27,15,4,1,153,5,0,26,26,7
ACKR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKR2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKR3,52,29,0,3,26,0,7,0,0,23,30,21,0,17,14,10,0,126,58,47,0,8,456,92,1,259,2537,24,1,2,158,20,40,4,7
ACKR4,3,0,0,23,0,0,0,0,0,0,0,0,0,8,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ACLY,85,499,558,119,147,756,335,288,335,206,213,199,3496,126,99,61,558,469,1044,1585,176,377,795,40,358,1945,249,118,1,1218,441,395,261,863,221
ACMSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACO1,3,37,14,3,15,3,11,3,6,1,45,44,48,13,17,3,74,29,349,5,14,22,27,335,8,121,0,541,0,163,0,0,1,4,4
ACO2,0,1,0,0,0,1,0,0,0,0,0,0,0,8,8,0,17,2,10,0,7,1,0,0,0,0,0,1,1,0,2,0,1,19,0
ACOT1,0,26,0,1,39,0,2,0,11,71,4,9,101,4,30,0,85,0,0,0,2,0,17,21,0,3,1,0,0,0,2,0,0,4,0
ACOT11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT13,6,53,105,64,24,2,0,124,32,26,9,0,26,21,2,112,41,16,13,35,28,33,197,3,57,35,6,34,0,0,0,118,25,25,109
ACOT2,0,3,0,1,1,2,2,0,5,2,1,5,13,1,7,18,65,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0
ACOT4,0,0,5,41,5,29,0,0,13,17,27,34,71,0,7,39,11,3,0,1,63,29,0,0,0,1,0,0,0,0,51,0,67,1,0
ACOT6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,252,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,28,16,0,32,8,112,0,45,0,3,30,3,76,8,2,0,9,1,1,73,17,0,0,0,9,56,37,82,0,0,41,106,21,28,3
ACOT8,0,23,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,21,0,5,0,0,8,0,0,47,0,0,0,2,0,0,0,4,0
ACOT9,113,118,2,12,20,156,41,103,20,62,30,186,677,14,27,48,46,136,23,157,22,0,0,207,20,188,4,0,2,377,42,37,26,14,26
ACOX1,6,47,65,10,19,156,31,272,229,66,71,29,265,27,23,30,95,37,0,17,6,438,14,9,51,221,3,191,0,1,15,70,34,8,3
ACOX2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACOX3,0,71,6,0,32,75,6,340,5,24,6,1,1,8,1,5,0,40,84,0,0,0,3,77,1,2,0,0,0,220,102,0,1,107,36
ACOXL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACP1,832,85,874,227,117,410,872,684,611,72,120,91,141,73,143,168,131,237,482,1272,21,1397,257,82,145,460,2660,608,3,262,185,479,228,301,211
ACP2,16,2,0,29,0,0,0,0,0,3,4,13,6,2,0,0,1,3,0,0,0,0,8,0,0,0,49,0,0,2,0,0,0,0,0
ACP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACP6,31,8,0,0,0,0,0,0,5,0,0,0,9,3,3,0,0,0,82,0,2,0,0,0,3,0,0,8,0,14,0,0,0,0,0
ACPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRBP,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0
ACRC,0,1,58,0,1,0,0,0,0,0,3,0,931,11,0,0,0,0,0,105,2,0,0,0,0,0,1,0,0,4,0,0,21,0,0
ACRV1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
