Gene,Pt_mRCC_SC_90,Pt_mRCC_SC_1,Pt_mRCC_SC_23,Pt_mRCC_SC_93,Pt_mRCC_SC_39,Pt_mRCC_SC_84,Pt_mRCC_SC_75,Pt_mRCC_SC_79,Pt_mRCC_SC_12,Pt_mRCC_SC_24,Pt_mRCC_SC_36,Pt_mRCC_SC_85,Pt_mRCC_SC_33,Pt_mRCC_SC_81,Pt_mRCC_SC_87,Pt_mRCC_SC_59,Pt_mRCC_SC_56,Pt_mRCC_SC_64,Pt_mRCC_SC_17,Pt_mRCC_SC_43,Pt_mRCC_SC_92,Pt_mRCC_SC_30,Pt_mRCC_SC_57,Pt_mRCC_SC_53,Pt_mRCC_SC_61,Pt_mRCC_SC_11,Pt_mRCC_SC_21,Pt_mRCC_SC_71,Pt_mRCC_SC_5,Pt_mRCC_SC_3,Pt_mRCC_SC_86,Pt_mRCC_SC_69,Pt_mRCC_SC_58,Pt_mRCC_SC_88,Pt_mRCC_SC_10
GLO1,29,58,110,126,2,302,5,1,49,30,52,1,50,63,13,72,11,203,352,20,11,114,34,25,35,12,11,46,0,18,12,27,11,32,34
GLOD4,80,55,47,163,56,354,21,58,70,32,26,77,190,20,9,2,2,38,1161,193,63,8,11,274,37,205,103,1,0,970,46,2,35,110,39
GLOD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
GLP2R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLRA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLRA3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
GLRB,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLRX,0,195,5,100,12,141,36,373,157,77,214,31,681,62,111,25,155,2,131,160,59,31,105,284,70,197,134,1055,1,267,321,289,142,117,70
GLRX2,129,26,18,24,9,45,26,90,14,38,24,16,5,7,49,10,42,6,10,2,17,3,11,10,8,12,0,1,0,75,5,0,40,2,28
GLRX3,211,136,160,266,23,85,323,573,96,93,119,97,549,63,74,27,299,64,172,331,86,424,158,433,119,185,21,23,0,222,91,27,125,230,47
GLRX5,20,20,32,5,1,0,0,32,27,5,7,0,3,1,2,2,17,2,0,0,14,2,4,0,0,18,6,0,0,1,36,8,571,2,4
GLS,983,209,261,167,147,1523,234,1541,634,1227,601,708,1809,302,1121,193,1425,334,613,1714,166,5038,389,1135,522,2784,420,857,5,224,319,1260,489,1130,461
GLS2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,0,0,0,0
GLT1D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLT8D1,73,63,20,40,15,80,4,3,1,91,74,0,32,15,0,0,0,0,5,68,8,866,0,0,15,0,1,154,0,150,1,936,10,0,16
GLT8D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
GLTP,256,626,47,804,143,282,406,1296,268,448,346,1048,77,182,195,283,592,524,82,996,47,54,186,2082,355,781,688,402,0,312,47,1746,136,60,262
GLTPD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLTSCR1,0,0,0,0,0,0,0,0,9,0,4,11,0,0,0,0,1,10,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
GLTSCR1L,259,11,0,31,0,16,0,0,2,0,7,53,0,1,58,0,0,1,0,4,2,0,0,0,16,4,0,0,0,0,2,81,11,0,2
GLTSCR2,21,5,1,21,1,33,22,1,11,11,9,32,20,2,14,4,18,8,8,34,2,0,41,29,4,4,2,0,0,0,24,21,34,11,8
GLUD1,8,105,297,266,66,553,50,27,434,188,113,260,1726,73,343,13,175,427,49,884,181,267,856,10,195,157,56,52,0,2251,904,424,155,550,10
GLUD1P3,0,0,0,5,0,0,0,28,1,0,0,0,0,0,0,0,0,13,0,0,0,80,0,0,1,0,2,0,0,0,0,1,0,0,0
GLUD1P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLUD2,1,0,0,2,0,0,0,0,0,0,3,1,2,0,1,0,0,0,6,5,0,0,0,0,0,35,0,0,0,4,36,5,0,0,0
GLUL,1,10,2,45,10,222,13,0,359,12,31,6,22,0,99,13,0,7,117,60,16,0,19,0,0,12,0,0,0,0,0,0,0,26,24
GLYAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYATL1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYATL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYATL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYCTK,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,3,19,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
GLYR1,7,12,0,2,9,50,17,55,20,20,14,5,2,22,3,9,99,37,1,22,5,2,9,4,11,27,19,20,0,66,87,71,113,6,11
GM140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
GM2A,24,0,1,10,1,13,17,81,54,12,22,12,11,10,25,4,6,3,25,130,28,0,0,0,44,22,0,24,0,1,22,4,124,4,6
GMCL1,0,1,0,0,0,6,0,4,0,0,0,0,10,0,0,0,1,0,61,2,0,0,0,0,13,0,1,47,0,1,0,0,34,0,0
GMCL1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMDS,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
GMDS.AS1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
