Gene,PDX_mRCC_SC_1,PDX_mRCC_SC_79,PDX_mRCC_SC_4,PDX_mRCC_SC_87,PDX_mRCC_SC_34,PDX_mRCC_SC_89,PDX_mRCC_SC_69,PDX_mRCC_SC_20,PDX_mRCC_SC_61,PDX_mRCC_SC_5,PDX_mRCC_SC_68,PDX_mRCC_SC_56,PDX_mRCC_SC_3,PDX_mRCC_SC_44,PDX_mRCC_SC_92,PDX_mRCC_SC_63,PDX_mRCC_SC_12,PDX_mRCC_SC_52,PDX_mRCC_SC_70,PDX_mRCC_SC_88,PDX_mRCC_SC_77,PDX_mRCC_SC_90,PDX_mRCC_SC_60,PDX_mRCC_SC_81,PDX_mRCC_SC_95,PDX_mRCC_SC_93,PDX_mRCC_SC_41,PDX_mRCC_SC_80,PDX_mRCC_SC_6,PDX_mRCC_SC_64,PDX_mRCC_SC_15,PDX_mRCC_SC_14,PDX_mRCC_SC_8,PDX_mRCC_SC_94,PDX_mRCC_SC_21,PDX_mRCC_SC_86
A1BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
A2ML1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
AAAS,0,0,161,0,0,28,0,91,3,0,26,0,30,0,29,0,0,25,6,30,9,13,0,0,0,0,0,0,2,0,8,0,0,0,1,14
AACS,86,0,0,0,12,32,9,24,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
AAED1,0,0,2,0,0,2,0,0,0,0,5,2,0,9,0,0,0,12,0,0,1,292,0,0,4,3,0,0,11,0,0,11,0,0,0,0
AAGAB,126,6,458,86,6,51,27,107,11,0,6,21,0,27,241,31,5,92,76,69,26,2,40,1,0,40,4,16,297,12,6,0,0,16,3,14
AAK1,879,125,141,0,325,248,183,464,167,193,683,74,15,168,57,191,19,430,526,294,1272,2,137,38,0,141,71,82,63,213,90,1010,17,75,94,249
AAMDC,0,8,0,1,8,2,6,0,0,0,2,0,1,1,2,11,8,0,16,0,0,24,0,0,1,14,0,0,0,0,1,0,0,2,0,1
AAMP,0,0,0,24,0,3,0,14,7,150,0,1,0,4,0,0,73,26,7,14,0,0,1,0,31,0,0,0,3,40,5,0,1,0,0,0
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAR2,16,123,211,1,15,26,541,98,279,81,1750,14,1,48,12,0,114,104,183,0,17,279,0,0,73,67,81,176,214,0,4,10,17,312,131,337
AARS,203,120,94,0,2,17,2,293,1,2,0,47,4,34,0,3,0,96,0,1,0,0,0,75,42,8,332,29,2,0,50,0,0,95,0,139
AARS2,0,0,0,0,75,7,0,0,5,0,0,4,0,3,0,3,1,1,0,0,0,1,16,0,0,0,25,0,0,1,0,0,0,0,0,0
AARSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,1,0,0,0,22,18,105,0,0,0,0,0,2,0,52,0,0,10,0,27,1,0,0,0,59,2,0,15,2,0,0,0,1,0,0,1
AASDHPPT,102,97,137,92,8,60,18,32,20,14,10,67,31,35,145,34,182,44,192,0,389,100,109,7,0,71,5,15,42,5,23,1,0,328,48,49
AASS,0,0,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,19,0,1,0,0,0
AATF,37,20,11,0,12,8,35,177,1,12,0,32,1,34,4,0,1,44,11,0,0,0,1,60,0,5,6,192,111,0,0,4,1,75,175,30
AATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABALON,0,0,0,37,0,2,30,27,0,0,0,0,0,1,0,0,0,1,0,0,1,93,0,0,1,0,46,0,1,0,1,0,0,0,0,0
ABAT,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,2425,14,0,81,30,599,2412,0,0,0,0,1,5,307,334,1107,1,3537,427,547,0,887,4,13,0,17,8,67,487,0,70,0,7,2,0,433
ABCA10,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ABCA11P,0,2,0,4,0,15,0,0,5,10,0,0,0,7,4,0,9,1,47,28,0,27,0,0,8,4,0,0,511,0,0,0,0,0,0,3
ABCA12,0,0,2,12,0,15,22,0,0,0,2,0,3,4,0,1,1,19,0,38,0,10,0,0,0,0,0,3,2,0,0,1,4,0,0,6
ABCA13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
ABCA17P,3,0,0,0,0,1,0,0,3,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,1,0,0,9,1,0,3,9
ABCA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ABCA3,5,0,14,3,0,1,3,1,3,5,5,0,0,1,52,66,0,0,0,0,17,0,0,0,9,2,16,0,2,2,0,1,0,0,37,0
ABCA4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,16,0,0,10,2,19,22,23,0,1,0,10,7,7,0,0,4,106,189,22,0,3,57,3,0,0,0,622,3,0,9,3,3,0,1,1
ABCA6,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
ABCA7,0,0,0,0,0,0,0,18,0,2,0,0,7,0,0,88,1,0,0,0,0,0,1,0,5,1,0,0,0,0,1,0,0,0,16,0
ABCA8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCA9.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
ABCB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0
ABCB10,51,17,15,0,277,41,3,25,0,0,4,4,0,24,0,3,1,56,343,0,178,0,0,0,0,2,4,0,31,0,68,0,0,0,1,4
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB5,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
ABCB7,7,0,0,0,0,27,30,33,1,0,0,2,0,0,11,27,0,9,0,4,0,0,264,4,3,4,26,1,28,1,2,26,33,24,0,61
ABCB8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,42,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10
ABCB9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABCC1,2,199,24,1,35,14,22,17,0,2,0,0,7,10,12,0,3,2,195,0,1,0,1,0,0,2,20,188,0,0,32,3,3,0,16,4
ABCC10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,2,0,42,0,0,0,0,0,0,0,0
ABCC11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,0,0,1,0,0,1,83,2,0,1,0,0,3,4,0,0,20,0,8,0,0,0,3,0,0,0,0,16,4,0,2,59,1006,0,14,227
ABCC3,28,9,0,0,0,5,1,49,0,43,0,0,0,6,11,0,5,85,1,2,127,0,10,0,62,29,0,0,24,2,0,0,17,7,0,0
ABCC4,9,0,0,1,0,29,35,43,0,25,0,0,0,0,147,0,0,44,3,1,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0
ABCC5,0,1,0,0,0,1,30,107,0,0,0,0,166,0,0,62,4,93,99,0,0,0,0,5,50,0,0,1,0,0,2,13,1,13,2,3
ABCC5.AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,0,0,86,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P2,0,0,9,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ABCC9,0,71,0,0,0,7,476,0,0,3,0,0,0,6,0,0,198,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,34
ABCD1,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD3,0,667,197,0,246,65,449,72,2,0,0,0,0,24,4,3,0,60,270,11,47,5,10,0,15,5,3,244,1,0,128,7,0,6,6,118
ABCD4,0,7,0,0,0,0,0,7,0,77,0,0,0,2,0,0,1,0,51,0,0,0,0,0,0,0,62,30,1,0,0,2,3,227,0,93
ABCE1,15,89,333,1,524,142,454,229,6,1,730,154,124,83,254,222,64,573,382,5,44,30,43,73,3,109,180,19,356,580,122,536,2,161,253,430
ABCF1,257,23,212,32,11,33,35,88,1213,48,26,32,8,33,13,27,1,9,134,91,5,0,62,15,16,28,161,57,256,21,22,232,0,15,0,5
ABCF2,195,12,11,0,75,140,209,118,273,99,98,87,60,38,88,13,23,83,48,6,16,29,4,2,0,47,1,43,34,36,30,2,0,61,0,142
ABCF3,118,0,30,0,0,8,23,13,1,0,29,13,0,5,0,0,0,1,1,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,17
ABCG1,0,0,0,0,0,2,0,0,42,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ABHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,0,0,466,3,10,47,446,380,18,160,0,16,152,16,2,3,0,44,112,120,44,3,0,154,84,63,0,0,1,0,14,16,13,0,13,51
ABHD11,0,17,1,1,10,2,20,1,0,3,1,4,0,3,0,1,2,9,4,81,0,0,0,0,0,0,23,46,0,0,10,8,1,82,1,0
ABHD11.AS1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
ABHD12,4,32,0,0,18,4,33,25,0,0,0,3,22,2,2,7,58,6,3,21,3,0,0,0,1,2,18,6,83,4,19,6,5,1,1,18
ABHD12B,0,0,0,0,0,10,0,0,0,0,0,0,0,0,55,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD13,0,531,274,0,0,9,0,1,1,0,0,125,0,5,0,0,0,5,0,0,0,0,1,0,0,9,5,3,0,0,41,3,0,0,0,168
ABHD14A,0,0,202,0,0,5,9,0,0,2,14,0,8,2,42,9,0,0,0,0,0,0,0,0,0,7,0,3,55,0,0,1,0,4,0,60
ABHD14B,70,0,222,1,0,26,44,121,680,233,36,109,646,4,136,70,8,5,63,31,0,0,0,207,5,30,0,50,0,865,0,382,482,15,2,0
ABHD15,0,6,0,0,0,12,0,2,0,0,0,0,1,11,0,0,0,6,0,0,0,0,0,4,0,0,23,260,23,0,1,1,0,0,0,0
ABHD16A,12,0,0,0,10,8,0,5,79,0,0,0,0,0,35,0,0,1,1,0,0,0,0,0,0,4,4,8,0,0,0,0,0,59,0,0
ABHD16B,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
ABHD17A,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17B,0,0,2,0,5,10,0,29,0,0,797,0,0,6,41,3,12,96,5,0,42,0,0,161,1,0,58,1,215,0,13,0,0,0,5,0
ABHD17C,0,0,0,0,4,5,0,0,0,1,0,0,630,1,7,0,0,0,6,0,0,0,0,64,1,3,1,0,355,0,0,1,0,0,0,0
ABHD2,100,0,115,6,16,75,7,12,18,158,0,52,17,16,3,2,0,87,197,5,1,7,19,6,3,44,5,409,0,0,20,44,4,3,34,4
ABHD3,0,0,80,9,10,15,58,4,46,0,17,3,0,8,5,0,4,0,0,1,0,0,0,0,0,16,0,0,0,6,11,0,0,1,0,33
ABHD4,28,0,279,0,0,5,108,0,0,0,0,0,0,2,105,9,4,0,18,0,0,0,0,48,0,2,0,0,0,15,0,0,1,0,0,14
ABHD5,46,3,32,0,279,83,0,221,9,4,0,9,5,60,39,0,11,9,100,3,1,1688,1,0,0,34,34,73,6,0,18,62,542,6,170,93
ABHD6,0,0,0,0,0,10,6,56,37,0,0,0,0,4,0,0,0,15,0,0,108,0,0,0,0,2,0,0,298,0,24,0,0,0,0,0
ABHD8,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABI1,688,366,17,2717,569,397,615,595,262,2,0,28,17,140,36,27,0,298,674,3,10,800,1,95,5,140,16,118,285,39,36,739,86,1107,158,3
ABI2,15,0,1,0,0,40,18,241,0,18,0,34,0,20,0,437,15,33,33,0,0,0,0,0,1,11,1,0,10,0,5,0,0,1,0,0
ABI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ABI3BP,0,0,0,0,0,0,0,0,0,63,0,0,0,9,16,0,3,0,0,0,0,0,0,0,0,31,0,70,14,0,0,0,0,8,0,0
ABL1,2,0,3,0,0,1,0,2,16,0,0,6,0,2,0,153,8,7,86,0,0,0,0,69,42,0,8,5,41,0,4,0,0,0,4,0
ABL2,211,1994,2404,96,799,909,1267,1346,2037,328,1616,446,9,219,1747,436,1126,593,2439,1575,2764,249,936,1513,249,205,577,3034,1501,61,270,500,517,1653,285,1831
ABLIM1,341,52,23,305,259,149,261,410,2,411,25,108,50,83,250,4,26,291,263,402,2,1829,17,7,53,10,1057,475,588,2,73,86,99,246,43,11
ABLIM2,0,0,187,0,0,4,0,0,0,0,0,0,0,0,1,77,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLIM3,19,101,1,73,20,47,4,8,134,10,296,8,0,7,35,51,2,55,114,18,14,11,7,3,0,26,7,13,0,1,47,20,0,13,62,35
ABR,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,42,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,0
ABRA,0,51,0,0,0,4,0,0,231,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19,2,20,0,0,0,0,0,0,0,0
ABRACL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABT1,4,51,9,1,2,37,88,1,257,654,36,4,35,10,0,2,6,1,18,1,492,695,0,9,0,5,4,2,41,240,0,460,0,132,0,15
ABTB1,0,0,49,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ABTB2,48,0,10,9,42,10,358,19,35,0,0,4,0,8,0,1,5,5,3,7,134,123,0,0,0,2,1,345,0,0,0,5,2,9,0,296
ACAA1,0,1,0,13,18,4,85,9,1,0,0,0,1,2,0,30,0,3,0,0,29,0,0,153,0,1,22,7,127,18,6,2,0,0,0,4
ACAA2,84,2,46,6,79,52,386,48,186,282,30,224,95,19,51,73,44,55,165,0,23,9,94,74,26,35,20,231,34,2,49,144,0,90,26,85
ACACA,44,68,74,16,16,114,1,430,6,223,2,2,2,15,180,3,0,5,8,4,0,0,3,40,1,3,1,57,32,7,0,7,3,368,0,41
ACACB,0,0,3,0,6,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,67
ACAD10,0,0,115,0,0,7,16,0,0,0,0,0,0,4,0,0,0,1,0,1,1,0,0,1,0,0,0,6,0,0,2,0,0,0,0,0
ACAD11,0,0,0,6,0,0,0,1,0,0,0,0,0,0,5,0,0,40,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ACAD8,2,0,0,0,1,14,0,0,0,0,0,0,0,4,0,0,0,33,0,104,0,0,1,4,10,0,0,0,0,0,41,0,0,1,0,0
ACAD9,5,0,0,0,0,2,0,0,0,0,0,141,0,2,0,3,0,0,10,10,0,0,0,4,0,12,0,1,0,0,0,0,0,2,0,3
ACADL,0,0,5,0,0,0,0,0,0,5,0,0,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,4,4,6,0,0,0
ACADM,1,0,0,9,119,66,126,1,37,4,4,23,12,42,130,1,23,104,157,0,115,0,48,84,4,0,0,149,23,0,39,26,20,175,1,58
ACADS,0,0,7,0,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0
ACADSB,3,2,0,3,0,9,0,0,0,1186,0,0,0,9,0,8,1,48,10,0,0,0,18,10,10,0,0,1,41,1,50,0,4,0,50,0
ACADVL,170,239,117,147,31,40,92,93,243,3,103,44,342,7,5,162,23,18,125,208,32,0,12,100,127,23,23,5,130,2,21,170,232,72,0,39
ACAP1,0,1,15,0,8,0,2,0,0,2,1,25,21,0,0,1,18,1,0,0,0,0,22,0,1,1,0,2,12,0,0,15,0,2,2,0
ACAP2,113,0,0,2,58,240,505,1288,62,2,146,40,35,39,66,384,32,676,50,4,33,4,0,23,0,68,25,397,1,0,316,36,0,521,8,4
ACAP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAT1,23,0,7,2,38,19,114,44,36,11,37,176,10,12,39,30,49,36,47,3,2,2,8,19,3,7,46,39,2,0,32,4,26,10,1,4
ACAT2,0,1,0,0,0,0,8,12,46,0,0,0,0,16,159,0,0,1,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0
ACBD3,338,238,450,285,196,237,922,1223,1262,271,954,250,1427,156,420,16,53,489,1646,13,519,1040,72,237,6,162,640,162,491,17,389,142,121,867,766,264
ACBD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0
ACBD5,129,19,93,8,49,89,5,99,2,11,0,97,5,48,7,837,193,93,24,17,3,3,0,68,0,3,1,3,4,1,110,26,13,0,3,244
ACBD6,0,0,28,0,0,4,10,31,196,4,30,3,1,1,0,0,0,10,44,0,5,0,124,1,0,0,24,125,4,2,0,1,4,20,0,24
ACBD7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCS,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,22,0,0,0,0,14,0,38,0,0,0,0,170,8,2
ACCSL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACD,74,0,0,0,15,0,11,74,8,0,16,67,0,0,0,1,0,15,0,0,1,0,0,0,0,1,1,20,0,57,0,0,0,0,0,0
ACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ACER2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACER3,242,0,1,1,6,60,52,5,0,1,1,0,1,51,86,789,0,42,59,1123,0,0,0,0,24,17,0,0,0,0,0,1,0,0,2,0
ACIN1,8,0,0,29,51,25,166,40,0,8,3,1,2,1,0,9,0,31,40,1,189,0,8,10,3,25,39,156,2,0,0,1,0,116,4,60
ACKR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ACKR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKR3,2,0,0,0,0,29,85,0,0,0,0,0,0,0,206,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0
ACKR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ACLY,429,119,788,61,282,820,100,765,116,232,458,213,516,178,84,11,127,336,169,150,786,9,46,597,102,297,185,88,541,27,241,6,41,483,15,539
ACMSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0
ACO1,2,1,95,3,70,11,19,12,3,1,0,7,0,6,2,0,31,30,7,1,0,1,1,0,1,9,43,13,0,0,0,4,121,75,5,0
ACO2,0,0,0,26,0,0,0,35,31,35,0,0,0,2,0,15,1,0,1,0,25,0,0,22,0,1,13,0,0,1,0,7,0,0,0,0
ACOT1,0,0,3,0,0,0,84,0,0,0,0,1,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,94,0,1,0,0,0,0,0
ACOT11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT13,37,0,33,0,3,8,42,10,0,1,0,0,1,2,0,1,0,10,0,0,34,0,0,0,0,5,0,0,1,0,1,1,67,68,0,0
ACOT2,0,0,0,0,0,1,13,0,0,0,0,2,0,0,0,0,7,1,0,0,0,0,0,0,1,2,0,0,11,0,0,0,0,0,2,0
ACOT4,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,234,0,0,0,0,0,0,0,1,0,0,0,0,0
ACOT6,0,0,0,495,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,28,0,0,0,16,5,16,0,2,18,0,0,0,7,0,1,0,1,10,0,0,0,0,0,0,3,4,23,1,0,7,7,21,0,2,0
ACOT8,0,0,0,0,10,1,6,0,44,0,0,0,3,1,18,0,12,7,0,0,0,0,0,0,3,1,0,33,0,0,0,0,0,0,8,6
ACOT9,4,0,0,61,26,7,0,3,45,21,3,2,5,2,51,1,16,37,4,0,0,0,16,0,0,1,85,0,130,4,23,9,0,32,32,1
ACOX1,176,1,28,0,26,37,22,271,157,2,0,67,4,27,8,1,8,11,200,70,2,1,9,1,15,8,0,309,183,106,17,98,1,57,18,48
ACOX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ACOX3,18,0,0,67,2,0,87,7,61,3,2,87,0,6,1,0,7,14,50,116,2,0,0,0,15,1,36,0,7,0,3,0,0,7,0,0
ACOXL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ACP1,587,6,319,235,579,221,741,312,337,15,1455,215,489,107,46,108,482,210,1016,216,792,774,253,185,279,174,44,103,647,78,173,312,100,243,129,248
ACP2,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,40
ACP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ACP6,0,0,0,0,0,0,85,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
