Gene,PDX_mRCC_SC_1,PDX_mRCC_SC_79,PDX_mRCC_SC_4,PDX_mRCC_SC_87,PDX_mRCC_SC_34,PDX_mRCC_SC_89,PDX_mRCC_SC_69,PDX_mRCC_SC_20,PDX_mRCC_SC_61,PDX_mRCC_SC_5,PDX_mRCC_SC_68,PDX_mRCC_SC_56,PDX_mRCC_SC_3,PDX_mRCC_SC_44,PDX_mRCC_SC_92,PDX_mRCC_SC_63,PDX_mRCC_SC_12,PDX_mRCC_SC_52,PDX_mRCC_SC_70,PDX_mRCC_SC_88,PDX_mRCC_SC_77,PDX_mRCC_SC_90,PDX_mRCC_SC_60,PDX_mRCC_SC_81,PDX_mRCC_SC_95,PDX_mRCC_SC_93,PDX_mRCC_SC_41,PDX_mRCC_SC_80,PDX_mRCC_SC_6,PDX_mRCC_SC_64,PDX_mRCC_SC_15,PDX_mRCC_SC_14,PDX_mRCC_SC_8,PDX_mRCC_SC_94,PDX_mRCC_SC_21,PDX_mRCC_SC_86
MMRN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
MMS19,12,59,102,6,18,58,18,358,4,94,2,14,48,29,191,174,22,30,230,2,385,0,18,2,92,32,0,169,0,4,5,1,1,0,18,0
MMS22L,0,0,0,0,3,0,1,30,0,0,0,0,0,9,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
MN1,2,1,0,0,0,13,0,1,0,0,0,0,1,0,0,0,15,3,0,1,29,0,0,0,0,0,0,164,0,0,2,0,0,0,1,0
MNAT1,2,0,1,8,4,3,11,6,3,4,9,10,0,1,6,5,0,47,3,0,1,301,25,13,0,1,0,1,52,3,1,0,0,199,111,0
MND1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
MNS1,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,10,0,10,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,3,0,0
MNT,1,0,2,0,0,3,0,2,0,0,0,0,2,0,0,0,0,1,4,1,47,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0
MOAP1,6,0,89,598,0,36,517,0,1,5,0,16,145,16,0,340,14,164,0,0,0,0,0,0,2,64,3,293,3,0,2,0,3,12,0,10
MOB1A,101,15,1,29,18,18,117,2,55,0,171,0,3,5,4,10,98,78,292,14,71,0,0,6,62,0,0,13,0,27,40,0,0,0,0,8
MOB1B,0,1,497,3,3,246,471,325,36,0,770,25,0,23,42,95,288,151,533,0,0,0,255,1,0,183,53,224,900,64,312,1,2,0,422,256
MOB2,0,26,0,0,0,0,7,17,0,0,0,40,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOB3A,25,12,31,13,0,31,0,5,58,1,11,12,0,1,9,0,0,187,0,0,13,7,0,13,378,1,16,5,164,0,16,0,735,2,3,7
