ID,Type,State,Pt_PDX,Mapped_reads,GSM,SRX,SRR
PDX_pRCC_SC_59,PDX_primary,pRCC,PDX,4374582,GSM1887278,SRX1253731,SRR2431406
Pt_mRCC_SC_56,Pt_meta,mRCC,Pt,4329276,GSM1887334,SRX1253770,SRR2431445
PDX_pRCC_SC_88,PDX_primary,pRCC,PDX,4013650,GSM1887294,SRX1253747,SRR2431422
PDX_pRCC_SC_51,PDX_primary,pRCC,PDX,2610400,GSM1887271,SRX1253724,SRR2431399
PDX_pRCC_SC_49,PDX_primary,pRCC,PDX,3918778,GSM1887269,SRX1253722,SRR2431397
PDX_pRCC_SC_61,PDX_primary,pRCC,PDX,3268090,GSM1887280,SRX1253733,SRR2431408
PDX_mRCC_SC_70,PDX_meta,mRCC,PDX,6228201,GSM1887238,SRX1253691,SRR2431366
PDX_mRCC_SC_88,PDX_meta,mRCC,PDX,5824419,GSM1887245,SRX1253698,SRR2431373
PDX_pRCC_SC_62,PDX_primary,pRCC,PDX,4649506,GSM1887281,SRX1253734,SRR2431409
PDX_mRCC_SC_77,PDX_meta,mRCC,PDX,4619755,GSM1887239,SRX1253692,SRR2431367
PDX_pRCC_SC_90,PDX_primary,pRCC,PDX,3563750,GSM1887296,SRX1253749,SRR2431424
PDX_mRCC_SC_90,PDX_meta,mRCC,PDX,3303143,GSM1887247,SRX1253700,SRR2431375
Pt_mRCC_SC_64,Pt_meta,mRCC,Pt,4457863,GSM1887339,SRX1253775,SRR2431450
Pt_mRCC_SC_17,Pt_meta,mRCC,Pt,5910354,GSM1887318,SRX1253760,SRR2431435
Pt_mRCC_SC_43,Pt_meta,mRCC,Pt,7283159,GSM1887332,SRX1253768,SRR2431443
PDX_pRCC_SC_24,PDX_primary,pRCC,PDX,3880705,GSM1887260,SRX1253713,SRR2431388
PDX_pRCC_SC_91,PDX_primary,pRCC,PDX,3376461,GSM1887297,SRX1253750,SRR2431425
Pt_mRCC_SC_92,Pt_meta,mRCC,Pt,2035806,GSM1887351,SRX1253787,SRR2431462
PDX_mRCC_SC_60,PDX_meta,mRCC,PDX,3299572,GSM1887232,SRX1253685,SRR2431360
PDX_mRCC_SC_81,PDX_meta,mRCC,PDX,4558867,GSM1887242,SRX1253695,SRR2431370
PDX_pRCC_SC_70,PDX_primary,pRCC,PDX,3853193,GSM1887286,SRX1253739,SRR2431414
PDX_pRCC_SC_55,PDX_primary,pRCC,PDX,4743158,GSM1887274,SRX1253727,SRR2431402
PDX_pRCC_SC_14,PDX_primary,pRCC,PDX,4364531,GSM1887258,SRX1253711,SRR2431386
PDX_mRCC_SC_95,PDX_meta,mRCC,PDX,2349845,GSM1887251,SRX1253704,SRR2431379
PDX_mRCC_SC_93,PDX_meta,mRCC,PDX,2297107,GSM1887249,SRX1253702,SRR2431377
PDX_mRCC_SC_41,PDX_meta,mRCC,PDX,2975639,GSM1887228,SRX1253681,SRR2431356
PDX_pRCC_SC_75,PDX_primary,pRCC,PDX,4470602,GSM1887289,SRX1253742,SRR2431417
Pt_mRCC_SC_30,Pt_meta,mRCC,Pt,10640979,GSM1887327,SRX1253764,SRR2431439
PDX_mRCC_SC_80,PDX_meta,mRCC,PDX,6097386,GSM1887241,SRX1253694,SRR2431369
Pt_mRCC_SC_57,Pt_meta,mRCC,Pt,5310685,GSM1887335,SRX1253771,SRR2431446
PDX_pRCC_SC_58,PDX_primary,pRCC,PDX,3893213,GSM1887277,SRX1253730,SRR2431405
Pt_mRCC_SC_53,Pt_meta,mRCC,Pt,7141576,GSM1887333,SRX1253769,SRR2431444
Pt_mRCC_SC_61,Pt_meta,mRCC,Pt,3369652,GSM1887338,SRX1253774,SRR2431449
PDX_mRCC_SC_6,PDX_meta,mRCC,PDX,4154963,GSM1887220,SRX1253673,SRR2431348
Pt_mRCC_SC_11,Pt_meta,mRCC,Pt,4859399,GSM1887315,SRX1253758,SRR2431433
Pt_mRCC_SC_21,Pt_meta,mRCC,Pt,4323732,GSM1887321,SRX1253761,SRR2431436
PDX_pRCC_SC_60,PDX_primary,pRCC,PDX,3507256,GSM1887279,SRX1253732,SRR2431407
Pt_mRCC_SC_71,Pt_meta,mRCC,Pt,6070143,GSM1887341,SRX1253777,SRR2431452
PDX_pRCC_SC_5,PDX_primary,pRCC,PDX,3971678,GSM1887254,SRX1253707,SRR2431382
PDX_pRCC_SC_56,PDX_primary,pRCC,PDX,3362018,GSM1887275,SRX1253728,SRR2431403
PDX_mRCC_SC_64,PDX_meta,mRCC,PDX,3062293,GSM1887235,SRX1253688,SRR2431363
PDX_pRCC_SC_67,PDX_primary,pRCC,PDX,3542954,GSM1887284,SRX1253737,SRR2431412
PDX_mRCC_SC_15,PDX_meta,mRCC,PDX,2310593,GSM1887224,SRX1253677,SRR2431352
PDX_pRCC_SC_46,PDX_primary,pRCC,PDX,2504966,GSM1887268,SRX1253721,SRR2431396
Pt_mRCC_SC_5,Pt_meta,mRCC,Pt,36234,GSM1887310,SRX1253756,SRR2431431
Pt_mRCC_SC_3,Pt_meta,mRCC,Pt,8524753,GSM1887308,SRX1253755,SRR2431430
Pt_mRCC_SC_86,Pt_meta,mRCC,Pt,5449301,GSM1887347,SRX1253783,SRR2431458
PDX_pRCC_SC_72,PDX_primary,pRCC,PDX,4033895,GSM1887287,SRX1253740,SRR2431415
Pt_mRCC_SC_69,Pt_meta,mRCC,Pt,5924803,GSM1887340,SRX1253776,SRR2431451
Pt_mRCC_SC_58,Pt_meta,mRCC,Pt,6224420,GSM1887336,SRX1253772,SRR2431447
PDX_mRCC_SC_14,PDX_meta,mRCC,PDX,3186145,GSM1887223,SRX1253676,SRR2431351
Pt_mRCC_SC_88,Pt_meta,mRCC,Pt,4528867,GSM1887349,SRX1253785,SRR2431460
PDX_mRCC_SC_8,PDX_meta,mRCC,PDX,2949363,GSM1887221,SRX1253674,SRR2431349
PDX_pRCC_SC_93,PDX_primary,pRCC,PDX,4347118,GSM1887299,SRX1253751,SRR2431426
PDX_mRCC_SC_94,PDX_meta,mRCC,PDX,4496194,GSM1887250,SRX1253703,SRR2431378
PDX_pRCC_SC_79,PDX_primary,pRCC,PDX,3231120,GSM1887291,SRX1253744,SRR2431419
PDX_mRCC_SC_21,PDX_meta,mRCC,PDX,3523905,GSM1887226,SRX1253679,SRR2431354
PDX_mRCC_SC_86,PDX_meta,mRCC,PDX,4585865,GSM1887243,SRX1253696,SRR2431371
PDX_pRCC_SC_87,PDX_primary,pRCC,PDX,3478811,GSM1887293,SRX1253746,SRR2431421
PDX_pRCC_SC_68,PDX_primary,pRCC,PDX,2541583,GSM1887285,SRX1253738,SRR2431413
Pt_mRCC_SC_10,Pt_meta,mRCC,Pt,2321354,GSM1887312,SRX1253757,SRR2431432
