gene,score
ARFGAP2,62.0630239475693
WDR6,61.5424342899893
SS18,61.3579154221742
SLC16A1,60.7988282084738
SUCLG1,60.414437772825
AATF,60.3109702175482
PPIA,60.3077631553935
FDFT1,60.1088216003779
DDX27,59.6406178525367
SNHG16,59.6009779124393
TPRKB,59.5035065989536
GNAS,59.3407618441228
LDHB,58.5515799234368
BLVRA,58.5514795021025
LAMP2,58.5390542263452
OSGEP,58.4130961583407
ACO2,58.1311754212057
CCT7,58.0973522566771
BIRC5,57.6838327552052
7-Mar,57.4319979070296
DDX41,57.165940037448
NUP62,56.8137023738124
PSMD9,56.3655116437979
AK1,56.1385339877344
TMEM43,56.1353929011524
PDPN,56.1113420852929
APOA1BP,55.3632240987768
COMT,55.2187361186097
BRMS1,55.1027043109015
NDUFS7,55.0501820739952
SF3B3,54.9778214718132
HNRNPA2B1,54.9377260486505
LAMB1,54.8858818266774
ADRM1,54.7299222953494
ELOVL2,54.3236153371625
ACTB,54.1577747505296
NSMCE1,54.1176076816748
NUP160,54.0387897835651
EEF1D,53.4990952557122
TM2D2,53.0999735721122
RUVBL2,53.0143849218923
ALDH9A1,52.8268906442024
MRPS21,52.722616818783
RASSF2,52.5278825596249
TMED9,52.4892446802461
CHI3L1,52.4549992709769
NUDT21,52.4391359886245
MRPL37,52.3476672380064
PLEKHB1,52.3206993295635
GGCT,51.9665635348289
MTCH2,51.6265127811185
MTF2,51.5768208447511
NSDHL,51.5454916548169
STOML2,51.4344780933726
TRNT1,51.1159453752382
GPN1,50.6670960876226
USP8,50.6134864803772
BCAN,50.3331762236744
MT2A,50.3003696529369
PEF1,50.0037970861612
RIT1,48.6086416791364
H3F3B,48.2559399864486
TSPAN7,48.1228993836504
SH3BGRL,47.5086965354499
HLTF,46.6579769525288
VAMP3,46.4883727197292
EIF3A,46.4061832123589
HSP90AA1,46.3231900486037
RPL15,46.0420734569772
HMGCS1,45.8547798263215
STXBP3,45.8030202386406
TGS1,45.7837026060694
GART,45.6428247770281
ELP2,45.3268057032804
CORO1C,45.0167929306622
MINA,44.9154935322065
DPH2,44.6397698553776
POMT1,44.3039107910363
CHL1,44.1545105354625
ETV1,43.802671266686
MTFR1L,43.707510251933
NOSIP,43.2364053228438
OXCT1,43.1558521120496
SLC20A1,42.9998114207883
HIBCH,42.9323360808733
LEPROT,42.8296930002628
UBE2L3,42.4099600489093
FYTTD1,42.0472255534232
NUCB1,41.9474983847823
FRG1,41.9209490273249
GOSR2,41.8213713854577
PON2,41.1836579387417
SIVA1,40.9159615777635
BCHE,40.8736049206068
UBE2G2,40.778990715024
APOD,40.7420812643491
METTL7B,40.2231509188673
ELOF1,40.0731621293191
NAT10,39.66713983668
IFT52,39.6590339194552
TM4SF1,39.5842797658478
AIP,39.3428981796327
TIMP1,39.0633034941906
STX8,38.8877234007775
PIGO,38.8759861117984
C8orf4,38.8025237814239
TSPAN12,38.7887733655282
ZNF83,38.4419833246144
RBM6,38.3342963655799
GOLGA7,38.3269966839693
DUSP3,38.2231770652796
NME1,37.9944181315461
DMTF1,37.9308281408961
BBS2,37.7548489169292
MANBAL,37.6507632516976
PIP4K2C,37.5621292636216
RPL36AL,37.5135041441684
GORASP2,37.3849540989612
COX7A2,37.3601020085296
NOP10,37.3528436497695
KIDINS220,37.2523522767818
EIF3G,37.2238050151567
G3BP1,37.0477685900851
MAT2A,37.01294734487
SPTAN1,37.0079895454066
CEBPZ,36.3566398012399
SEC23A,36.2900918232517
ARMC1,36.2554583697719
GOLT1B,36.0799293565836
UBR7,36.0651078386064
PYCR1,35.7514455018751
CFAP36,35.6581395435283
UFSP2,35.4725015685005
CAPN2,35.2757598117066
NHP2L1,35.2079354721801
WDR55,34.8880782024206
LSM8,34.8505963258742
MATR3,34.7851265223083
NECAP2,34.7654791915175
TOR1AIP1,34.6779507037168
PHB,34.5946167582594
ANXA2,34.4940877254244
GAPVD1,34.1352327750856
PMP22,33.9444156109837
TIMM17A,33.9251711936774
C12orf10,33.911161872671
CNOT7,33.8353606700779
YIPF1,33.7455368311239
PARP4,33.6933838090289
SUMF2,33.5654293276108
FAHD1,33.5511754408716
ASNS,33.3843430415582
C3orf38,33.1908710987899
PPP1R7,33.1906858351939
C21orf62,33.1898208213573
NSFL1C,33.1860086540543
PNRC2,33.1213094483577
TEX10,33.0543279052281
THUMPD3,32.9053773015978
KPNA1,32.8937718077896
C1orf43,32.79834161612
HSP90B1,32.6943438117319
ZNF559,32.6023146509178
MRPS10,32.5639545145928
APC,32.42536903845
BBS4,32.1879608938401
STT3A,32.1828209682204
SH3BGRL3,32.1552447550223
NUP85,31.9903276990169
S100A6,31.7278959904781
CGGBP1,31.7186623198143
CDK20,31.6275999470553
CALD1,31.2687214257726
FAM127B,31.1053737902711
ANKRD36B,31.0243980919457
CDH2,30.9000792595992
IMMT,30.8559514716637
FAM192A,30.6563201735172
WDR73,30.6263890469598
NELFCD,30.4947152731846
PCDH9,30.3714892026018
CIPC,30.2586139448353
SLC38A6,30.2252039285772
NEDD9,29.9792033330181
TMEM177,29.9683412501527
ACTL6A,29.867963171631
CSNK2B,29.6673924928272
FSTL1,29.6551593755736
ASNSD1,29.4759275075066
SDHAF2,29.3875985904597
UCP2,29.3672319124286
EXOSC7,29.3451563451135
DTYMK,29.1965712384333
ACAD11,29.1723520639018
AHSA1,29.1063245779281
MRPL10,29.0525916478672
CTSC,28.997182480129
BCL6,28.8578945252816
DCP1A,28.8053349813599
COMMD9,28.6813162370948
PEPD,28.5981578760785
PREPL,28.526174583397
PSMA6,28.5077125650719
TNFRSF19,28.0972173580316
LETMD1,28.0228409309229
DIABLO,27.95534725908
FN3KRP,27.71717517844
MCM4,27.6019943390358
HSBP1,27.5899843651864
LRPAP1,27.5885715577844
JAGN1,27.5245283753247
FOPNL,27.4266932692676
EBNA1BP2,27.3486287869379
HMGCL,27.1320015628348
CFDP1,27.0707335381074
MIA3,26.9842931478461
HSPA13,26.9075727384328
FANCI,26.764345095248
GRIA2,26.7517643648328
SLC5A6,26.6252707611412
KAT7,26.5951217802898
CDC27,26.5632457653359
COPG1,26.497744906287
TRIB2,26.4709224845602
DNAJA3,26.4428677837533
R3HCC1,26.317232441833
AGTRAP,26.2668268335459
DNAJB1,26.2250164876694
PEBP1,25.9414641512602
C11orf73,25.8542478703746
DCAF8,25.6114248290846
EIF2B2,25.5887289484809
IST1,25.5117008144261
SUPT16H,25.4708647359126
SRI,25.3745592895813
TCEAL4,25.0622448185539
NEMF,25.0231131809443
IDI1,24.9337024525333
RPL7A,24.8766680037262
CXADR,24.8175207942275
ERO1A,24.5216217164642
SERPINB6,24.4628865677429
EDNRB,24.2727524324894
CTR9,24.0576117661338
AQP4,24.0201452071851
HEY1,23.9001997973566
CRYZ,23.6011986574108
EIF2B1,23.5463744572092
SNX17,23.5004560584432
LIMA1,23.4234351744708
GOT2,23.4080884419271
ZNF512,23.2295728303248
UBAC2,23.161201179968
WDR43,23.1164544005445
FAF2,23.0754912047473
SFT2D1,22.9759941499674
MCM7,22.9727034687285
C1orf109,22.8375497484014
COPS3,22.7699963467589
ANXA2P2,22.6368221164537
CDC42SE1,22.6320131803381
UBE2L6,22.5653742229136
MRFAP1,22.5169532329158
COPE,22.4045848438078
LANCL2,22.3944550312896
USP22,22.3756367694367
CCP110,22.2828531903197
ARL6IP5,22.2747897131219
ZKSCAN1,22.2440736530102
TPP1,22.1997009459546
CCAR1,22.1293617386627
TFRC,22.0117382399491
TMX2,21.9501905251517
CCNL1,21.7999001905856
NUP155,21.7923867551098
PNPO,21.7259762467015
PFKP,21.6913190797062
DNAJA1,21.6904225953919
HINT1,21.6354127504015
GNPDA1,21.6018473776838
KBTBD6,21.4673788715057
RSRP1,21.446060510119
IP6K2,21.4223356586954
FOXRED1,21.4012862205945
KXD1,21.3018094936413
UQCR11,21.2819173342738
RPL8,21.2767131362639
MRPS17,21.2759152115737
GTPBP4,21.1265631574077
NDUFS1,21.0442812941588
MDH2,21.0157594629266
COMMD10,20.9786890742522
ATL1,20.9489791826618
PDE4DIP,20.9295243099826
C4orf3,20.9042626552037
EXOSC5,20.8921619574179
PHYH,20.7234583401099
SAMM50,20.5646618459693
SCHIP1,20.5515827610134
SNX1,20.4891900968733
CKAP2,20.4831116732364
FTSJ3,20.4166617397911
PSAP,20.3417231271731
DCAKD,20.3008921094704
PCMTD2,20.2940971516757
GTF2B,20.2802884136505
STYXL1,20.1406435916877
IL1RAP,20.0939665822282
PRRC2C,19.7833603910521
TMF1,19.7184403518517
PPP1R15B,19.68416334247
VCAN,19.6565171949594
PTPRS,19.6186083585671
NEK6,19.4827894235796
NF2,19.4528977467721
ZNF195,19.3895296222
TCTA,19.3679489516469
GNPAT,19.3021234772374
ZNF271P,19.1937469085567
SNX7,19.1797979411475
MELK,19.1139744052063
ACP1,19.0950283596769
NFIA,19.0298733019606
KLHL4,19.0075466730451
C5orf22,18.9779463845182
ZFAND2A,18.9546838619173
PYGB,18.9466348162139
YIPF5,18.6821617449501
PSMB1,18.6214799755082
TMBIM1,18.5835457546756
CCDC12,18.5601086509278
CUL9,18.5027741940973
SLC39A1,18.4515390602864
NOL9,18.3647469383252
RIOK2,18.2810044970575
PTTG1IP,18.2376228216102
CAPZA1,18.202587875418
HSD17B11,18.135267509448
REV3L,18.1181412735953
ALDH1B1,18.0809334787779
NFU1,18.0670260985126
RAD50,17.9645233821898
GLRX3,17.9491905478125
FN1,17.9393376529493
CNOT4,17.9333012411926
NDUFA8,17.8984195345843
CDCA7,17.8804499479449
SAT1,17.7963402035608
STAU1,17.7881529991209
GINS2,17.7340361625943
QDPR,17.6786895059012
CD320,17.6131265783551
OSGEPL1,17.5714068253388
FKBP5,17.5074440618427
GNG12,17.5000515391174
ATP5F1,17.3866851526122
GPM6B,17.3723736586052
TNPO1,17.3711980655808
RPA2,17.2595088304877
RPUSD4,17.2195993009995
UPRT,17.1982191292456
FUS,17.1082952261457
RFTN2,17.0660536708358
SRSF10,17.0567468481386
CSNK2A1,16.9959073719755
SEC22A,16.9927492234062
VPS11,16.9891953325377
PNPT1,16.9576002538812
BTBD3,16.9371647838702
ENAH,16.9153866020431
POLR3K,16.8689494929373
PITRM1,16.8485228174279
NOL11,16.7421389398873
AAAS,16.7051546023017
NVL,16.6645555689581
KPNA2,16.6096935721046
NGDN,16.5132927999625
PSMC5,16.5000499710882
LYPLAL1,16.4644486561527
SKIL,16.4117728974047
LOC100131564,16.3628116349155
NME2,16.3400579423555
B4GALT3,16.3158132178966
BNIP3L,16.3151419139259
NAPA,16.2711792213625
COX6C,16.2018158789353
TPD52L2,16.05044556522
NUMA1,15.9963433373743
ZNF708,15.9914959978755
TSPO,15.9851992960493
CNPPD1,15.9119810594808
DRG2,15.8845510121966
ANXA7,15.8511721800655
PSMC2,15.7687502946358
TMEM176B,15.7350426000648
MECR,15.7190087754919
SAP18,15.6825587159505
TIMM9,15.5261698612679
TMEM41B,15.4502971157876
RBM23,15.4073108866902
TMEM206,15.3230624106339
CYP51A1,15.2665899165536
PUM1,15.2284643342753
SNX27,15.2198788495627
METTL22,15.2050771911672
KIAA1191,15.1492324592084
HUS1,15.1397733759072
GTF3C2,15.1148528101437
CCDC90B,15.0979711208508
RAB8B,15.0658409056406
RTCB,15.0236560460688
RARS,15.0103106851193
KLF6,14.9178163148663
ANKFY1,14.8636879315825
GSTT1,14.8603816154601
SULF2,14.8241117404009
TOMM20,14.8230399112093
CPM,14.7764648658925
DDX56,14.7646618084664
NDUFS8,14.7620902485005
UFM1,14.7109457357448
SMC1A,14.6672728576063
RPA1,14.6273431111762
DPAGT1,14.5628828378719
RGS16,14.5201224126769
AGA,14.4971869366025
STARD3NL,14.4561932411359
PPP2R3C,14.4404441814128
MFF,14.3994355762714
NUP205,14.337478728203
SBNO1,14.3068504963719
TMED3,14.2599781593381
SLC35B4,14.2529895835348
CBX5,14.1205821944459
DENR,14.0643419562389
TUBB,14.0603857176553
LRRC8A,14.0117559158423
HLA-E,13.9780629215049
DNAJC10,13.9672279804408
B4GALT4,13.9488073908649
HEATR1,13.8967958224821
MTERF1,13.8612401975888
CWC22,13.7800108047707
TEX264,13.7153723994869
TF,13.7050676804913
DPP6,13.6820115322224
COLGALT1,13.6567489926947
ACAT2,13.5902636985568
SLC35A4,13.498523882069
NFKBIA,13.4974097076538
LOC100506860,13.4188289038699
CRKL,13.3056091403496
ZNF830,13.2177272241002
POLR1E,13.160646291812
NINJ1,13.1190451493039
PMPCA,13.0350611663691
HLA-DRB1,12.9222496375669
FLVCR1,12.7685744251297
CPNE4,12.7345538256142
APPL2,12.6987743062637
KIF23,12.6099718270382
CAPNS1,12.6087901603155
DERL1,12.5995033965534
RNASEK,12.5773384777005
ZNF84,12.5462420837963
NNT,12.5455046607381
ALKBH3,12.52799058163
AP3B1,12.5169497590968
GAS5,12.4439078985765
TRMT112,12.3961365261472
PTGR2,12.3702941855277
PTGFRN,12.3549461790932
NQO1,12.2833523786006
RELL1,12.2617733932017
MUT,12.2220868858612
ACER3,12.2102698831136
SKP2,12.1920414794691
PRICKLE2,12.1618229732227
SOX2-OT,12.1392974237337
ABCD4,12.0978457515685
AMZ2,12.0890912288663
SLC1A2,12.0802672627168
TMEM167A,11.9852213328356
AKAP12,11.9401927122006
SSNA1,11.8564358236101
CYB5D2,11.7678813553793
AZIN1,11.7572559482763
UCK2,11.718130541605
ZCRB1,11.6770566169808
C1orf61,11.648307163011
NIPSNAP1,11.6386070545841
SETX,11.6184802626249
EXOC4,11.5656705345875
HACD3,11.4530448322593
SND1,11.4495147815194
IFI35,11.4367530450979
ISG15,11.4350441952422
PSMD2,11.4275238238916
ABHD4,11.3174694942563
ZNFX1,11.313265475663
GM2A,11.3079434428128
MCPH1,11.2768184130343
CCT2,11.2497044299579
ATP5SL,11.2414320476856
EIF4B,11.2365318042291
CDK5RAP3,11.2058695904984
CREB5,11.1788946795714
ARL6IP1,11.1705551034009
NDUFS2,11.1644485185693
SPRY4,11.162989059842
GCAT,11.1621261669345
MLLT11,11.153150919772
MRPL28,11.1511804614253
ZNF516,11.11857887217
IARS,11.1076716914837
IFT22,11.0956498230389
IFRD1,11.0869524024183
SP110,11.0860921816221
SF3B6,11.0806819191399
MCC,11.0529841028847
BST2,11.0257227791112
TMEM30A,11.0126777145007
PCDHGC3,10.9884621088959
CLCC1,10.9148150484298
FAM69A,10.8761596203396
PPIE,10.8061147960437
PDXDC1,10.7865418407482
VKORC1,10.7654366831008
C6orf62,10.7408306880781
HLA-DRA,10.6685408694689
RARRES3,10.6668604093429
HS3ST3B1,10.6227517827455
UQCR10,10.6138554851526
HADHB,10.6049745470095
TRAPPC4,10.574273922933
CHI3L2,10.5318311793941
ITGB1,10.5261148075072
SNHG11,10.5129267624608
ANLN,10.444603408304
GS1-124K5.11,10.4194622415657
CPVL,10.3751601166386
KLF10,10.3336299305044
MED21,10.3129347616346
SON,10.2833426117791
PWARSN,10.2809888053529
PPAP2B,10.2591914322608
ABCE1,10.2287024998246
MRPS6,10.2135518129021
PLAT,10.1775926992486
PARK7,10.1649847530176
C14orf2,10.1418283716354
CAND1,10.1383610191286
HILPDA,10.1122044337213
CSPG4,10.0019391376624
RDH10,9.97044371960365
RAB29,9.96480025429097
COQ6,9.93901662876412
