comparison,rowname,lb,mle,ub,ce,Z,cZ
1 vs. 2,Sema3c,-2.2227247752195507,-1.1323314892627931,0.0,0.0,-1.9465516933306513,-0.5761409602735191
1 vs. 2,Psma3,-2.180786571913522,-1.0484550826507322,0.0,0.0,-1.9436652519319437,-0.5761409602735191
1 vs. 2,Col1a2,-3.438932671094398,-1.6775281322411701,0.1677528132241167,0.0,-1.9006822604050035,-0.5508846159715174
1 vs. 2,Ddb1,-2.3066011818316117,-0.7968258628145565,0.0,0.0,-1.886900125662728,-0.5508846159715174
1 vs. 2,Phf20,-2.3066011818316117,-1.090393285956761,0.04193820330602677,0.0,-1.87799177090314,-0.5508846159715174
1 vs. 2,Ppp3ca,-0.08387640661205985,1.0903932859567578,2.3066011818316086,0.0,1.8721047765778502,0.5508846159715174
1 vs. 2,Armc10,-2.3066011818316117,-1.0484550826507322,0.04193820330602677,0.0,-1.8711463876127166,-0.5508846159715174
1 vs. 2,Ccdc43,-2.1388483686074933,-1.090393285956761,0.04193820330602677,0.0,-1.870416025275445,-0.5508846159715174
1 vs. 2,Tomm20,-2.684045011585874,-1.090393285956761,0.04193820330602677,0.0,-1.8687216231626744,-0.5508846159715174
1 vs. 2,Amer1,-2.2646629785255796,-0.8807022694266139,0.04193820330602677,0.0,-1.832039710164026,-0.4960405765759104
1 vs. 2,Slc39a1,-1.9710955553833749,-1.0484550826507322,0.08387640661205685,0.0,-1.7700466574565115,-0.3887666072169002
1 vs. 2,Cldn7,-1.9710955553833749,-0.8387640661205851,0.08387640661205685,0.0,-1.7343030133016406,-0.332038593608138
1 vs. 2,Kif20b,-2.3066011818316117,-1.0484550826507322,0.12581460991808663,0.0,-1.7113568891614663,-0.30116107517141233
1 vs. 2,Htt,-1.9710955553833749,-1.0484550826507322,0.1677528132241167,0.0,-1.6754131633458387,-0.24161399977333436
1 vs. 2,Pcbp1,-2.1388483686074933,-0.7968258628145565,0.1677528132241167,0.0,-1.645356669150987,-0.1973303309165069
1 vs. 2,Galm,-2.474353995055727,-1.0484550826507322,0.25162921983617326,0.0,-1.637566286009386,-0.1973303309165069
1 vs. 2,Dock7,-2.054971961995436,-1.0484550826507322,0.1677528132241167,0.0,-1.630881038155455,-0.1973303309165069
1 vs. 2,Pqlc1,-3.3131180611763122,-2.3485393851376406,0.8807022694266139,0.0,-1.5886033009822424,-0.14171447307072527
1 vs. 2,1110057K04Rik,-2.0969101653014643,-0.8387640661205851,0.1677528132241167,0.0,-1.585408271754859,-0.14171447307072527
1 vs. 2,Ctdsp2,-1.8452809454652885,-0.8807022694266139,0.20969101653014646,0.0,-1.557266620079279,-0.14171447307072527
1 vs. 2,Fuca2,-2.1388483686074933,-0.7548876595085277,0.1677528132241167,0.0,-1.5561436958161123,-0.14171447307072527
1 vs. 2,Esco1,-3.438932671094398,-0.8387640661205851,0.25162921983617326,0.0,-1.5538707099519533,-0.14171447307072527
1 vs. 2,Crbn,-2.1388483686074933,-1.0065168793447035,0.25162921983617326,0.0,-1.552508052482765,-0.14171447307072527
1 vs. 2,Mrps33,-2.3485393851376406,-1.0484550826507322,0.25162921983617326,0.0,-1.5519526495908893,-0.14171447307072527
1 vs. 2,6820431F20Rik,-2.0969101653014643,-1.0065168793447035,0.20969101653014646,0.0,-1.543015448088692,-0.13823976861684217
1 vs. 2,Pdgfc,-2.2646629785255796,-0.8387640661205851,0.25162921983617326,0.0,-1.4988597015158163,-0.08415614465647618
1 vs. 2,Entpd7,-1.9291573520773462,-0.6290730495904381,0.20969101653014646,0.0,-1.4936019562857668,-0.08415614465647618
1 vs. 2,Pdxdc1,-2.013033758689404,-0.8807022694266139,0.25162921983617326,0.0,-1.4919074394594993,-0.08415614465647618
1 vs. 2,Ehmt1,-2.2227247752195507,-0.8387640661205851,0.25162921983617326,0.0,-1.4900613186117178,-0.08415614465647618
1 vs. 2,Mrp63,-2.684045011585874,-1.7194663355472024,0.4193820330602942,0.0,-1.4805438576991434,-0.07859788588367395
1 vs. 2,Gprasp1,-1.8872191487713175,-0.7129494562024989,0.25162921983617326,0.0,-1.4723851921744415,-0.07596627346487547
1 vs. 2,Msl1,-2.0969101653014643,-1.0484550826507322,0.3355056264482334,0.0,-1.4653269196119083,-0.07566887946138959
1 vs. 2,Nme3,-2.013033758689404,-0.7129494562024989,0.2935674231422033,0.0,-1.4495466431167516,-0.05693428714695288
1 vs. 2,Tmx3,-1.8872191487713175,-0.7129494562024989,0.2935674231422033,0.0,-1.4433666397772753,-0.05693428714695288
1 vs. 2,Dot1l,-1.593651725629113,-0.7129494562024989,0.2935674231422033,0.0,-1.4299456127294785,-0.04179488717144408
1 vs. 2,Psma1,-2.180786571913522,-0.8807022694266139,0.3355056264482334,0.0,-1.4079902378725295,-0.0067839228119719605
1 vs. 2,Psmd10,-2.180786571913522,-0.7129494562024989,0.3355056264482334,0.0,-1.3889243384892755,-0.0
1 vs. 2,Jun,-1.6355899289351417,-0.6710112528964701,0.25162921983617326,0.0,-1.378230312081254,-0.0
1 vs. 2,Pdlim1,-1.9291573520773462,-0.5451966429783839,0.25162921983617326,0.0,-1.3739640357191938,-0.0
1 vs. 2,Uqcrq,-1.7614045388532311,-0.7129494562024989,0.5451966429783806,0.0,-1.3554844238773722,-0.0
1 vs. 2,Cep55,-2.3485393851376406,-0.5451966429783839,0.3355056264482334,0.0,-1.3510783801963528,-0.0
1 vs. 2,Orc4,-1.8872191487713175,-0.8387640661205851,0.5451966429783806,0.0,-1.3263861105653754,-0.0
1 vs. 2,Bnip3,-1.7194663355472024,-0.6710112528964701,0.3355056264482334,0.0,-1.2885778667541778,-0.0
1 vs. 2,Hdlbp,-1.9710955553833749,-0.9226404727326459,0.46132023636631964,0.0,-1.284216156288748,-0.0
1 vs. 2,Zyx,-1.6355899289351417,-0.7129494562024989,0.46132023636631964,0.0,-1.279576467772842,-0.0
1 vs. 2,Cabin1,-1.7194663355472024,-0.7129494562024989,0.46132023636631964,0.0,-1.2446966660298144,-0.0
1 vs. 2,Nup50,-2.2227247752195507,-1.0484550826507322,0.5032584396723484,0.0,-1.2363792928431474,-0.0
1 vs. 2,Tmem106c,-1.7614045388532311,-0.6710112528964701,0.4193820330602942,0.0,-1.22981813890905,-0.0
1 vs. 2,Prrg1,-2.3066011818316117,-1.0484550826507322,0.5871348462844093,0.0,-1.227807295932355,-0.0
1 vs. 2,Dynll2,-1.8033427421592565,-1.0484550826507322,0.5032584396723484,0.0,-1.2161474695675765,-0.0
1 vs. 2,Galnt2,-1.8872191487713175,-0.5451966429783839,0.4193820330602942,0.0,-1.1925066559911972,-0.0
1 vs. 2,Plk1,-2.2227247752195507,-0.5871348462844093,0.46132023636631964,0.0,-1.1896333215610015,-0.0
1 vs. 2,Tmem164,-1.9291573520773462,-0.6710112528964701,0.5871348462844093,0.0,-1.1881415011584668,-0.0
1 vs. 2,Tmem41b,-1.8872191487713175,-1.0484550826507322,0.5871348462844093,0.0,-1.1855944808926049,-0.0
1 vs. 2,Zdhhc1,-1.7614045388532311,-0.2935674231422063,0.5871348462844093,0.0,-1.152858803792922,-0.0
1 vs. 2,Cpq,-1.8033427421592565,-0.6710112528964701,0.46132023636631964,0.0,-1.1462724896434666,-0.0
1 vs. 2,Tmem41a,-0.6710112528964701,0.2935674231422033,3.1873034512582223,0.0,1.1364784690875231,0.0
1 vs. 2,Dhx32,-1.8033427421592565,-1.0484550826507322,0.5451966429783806,0.0,-1.1199196468137778,-0.0
1 vs. 2,Cnot10,-1.9291573520773462,-0.6290730495904381,0.46132023636631964,0.0,-1.1174193135067523,-0.0
1 vs. 2,Srpk2,-2.600168604973813,-0.46132023636632297,0.5032584396723484,0.0,-1.0819785803257604,-0.0
1 vs. 2,Hbp1,-2.2227247752195507,-0.6290730495904381,0.5032584396723484,0.0,-1.0675027753319306,-0.0
1 vs. 2,Nsa2,-1.5097753190170553,-0.6290730495904381,0.5032584396723484,0.0,-1.0590439174520054,-0.0
1 vs. 2,Dcaf11,-1.9710955553833749,-0.46132023636632297,0.37744382975426216,0.0,-1.0563716997869586,-0.0
1 vs. 2,Fmr1,-1.8452809454652885,-0.5871348462844093,0.46132023636631964,0.0,-1.0549856645854387,-0.0
1 vs. 2,Sil1,-1.9291573520773462,-0.5451966429783839,0.5871348462844093,0.0,-1.0540534026383641,-0.0
1 vs. 2,Raver1,-2.0969101653014643,-0.6710112528964701,0.5871348462844093,0.0,-1.0489301034592298,-0.0
1 vs. 2,Ajuba,-2.2227247752195507,-1.0484550826507322,1.3839607090989656,0.0,-1.0454100682805734,-0.0
1 vs. 2,Rnf13,-0.5032584396723517,0.8387640661205817,1.4678371157110233,0.0,1.0446620021110242,0.0
1 vs. 2,Nxf1,-2.1388483686074933,-0.5451966429783839,0.5032584396723484,0.0,-1.0437340711297696,-0.0
1 vs. 2,Fosl2,-0.5032584396723517,0.5871348462844093,1.8033427421592565,0.0,1.0371692480153556,0.0
1 vs. 2,Utp15,-1.8033427421592565,-0.5032584396723517,0.5451966429783806,0.0,-1.036186231848674,-0.0
1 vs. 2,2510002D24Rik,-2.2646629785255796,-1.4258989124049946,0.7968258628145565,0.0,-1.0189210060467764,-0.0
1 vs. 2,Tuba8,-0.5871348462844093,0.37744382975426216,1.8872191487713141,0.0,0.9749972499851997,0.0
1 vs. 2,Bub1b,-1.9710955553833749,-0.6290730495904381,0.5451966429783806,0.0,-0.9678661728480155,-0.0
1 vs. 2,Galnt18,-0.7129494562024989,0.37744382975426216,2.013033758689404,0.0,0.9589131149460787,0.0
1 vs. 2,Cdc73,-1.8872191487713175,-0.6710112528964701,0.7548876595085243,0.0,-0.958564397950637,-0.0
1 vs. 2,Tax1bp1,-2.054971961995436,-0.7968258628145565,0.7548876595085243,0.0,-0.9561124087914881,-0.0
1 vs. 2,Taf6l,-0.8387640661205851,0.6710112528964668,1.9710955553833749,0.0,0.9505738427759063,0.0
1 vs. 2,Ubr4,-1.8033427421592565,-0.7129494562024989,0.7968258628145565,0.0,-0.9416410869727156,-0.0
1 vs. 2,Mboat1,-1.9710955553833749,-0.7129494562024989,0.7129494562024956,0.0,-0.9368893832718664,-0.0
1 vs. 2,Dlg1,-1.8452809454652885,-0.5451966429783839,0.6290730495904348,0.0,-0.9330530640402994,-0.0
1 vs. 2,Pias2,-3.9421911107667498,-0.7129494562024989,1.4258989124049912,0.0,-0.930779905831367,-0.0
1 vs. 2,Trim13,-1.090393285956761,1.4258989124049912,2.642106808279842,0.0,0.9282766647611533,0.0
1 vs. 2,Tjp1,-0.5451966429783839,0.5871348462844093,1.8033427421592565,0.0,0.926016505896902,0.0
1 vs. 2,Mut,-1.9710955553833749,-0.7129494562024989,0.7129494562024956,0.0,-0.9129339444998439,-0.0
1 vs. 2,Ccdc50,-2.0969101653014643,-1.0065168793447035,0.7548876595085243,0.0,-0.9089819657076277,-0.0
1 vs. 2,Ino80,-1.9291573520773462,-0.7129494562024989,0.5871348462844093,0.0,-0.9033994869737194,-0.0
1 vs. 2,Appbp2,-1.8872191487713175,-0.4193820330602942,0.5032584396723484,0.0,-0.8927615943274119,-0.0
1 vs. 2,Akr7a5,-1.8872191487713175,-0.5871348462844093,0.5451966429783806,0.0,-0.8887790938911877,-0.0
1 vs. 2,Sdc1,-2.0969101653014643,-0.6290730495904381,0.9645786760386714,0.0,-0.8815066294016414,-0.0
1 vs. 2,Stard3nl,-1.7614045388532311,-0.6710112528964701,0.6710112528964668,0.0,-0.8758305873451457,-0.0
1 vs. 2,S100a1,-0.6290730495904381,0.2935674231422033,2.013033758689404,0.0,0.867726561104772,0.0
